No_Struk,Tanggal,Waktu,Kasir,Menu,Kategori,Harga_Satuan,Jumlah,Subtotal,Total_Transaksi,Metode_Pembayaran
-20250106-0004,2025-01-06,21:14:30,val,Latte,Kopi,15000,4,60000,60000,QRIS
-20250106-0005,2025-01-06,16:54:54,valencia,Latte,Kopi,15000,1,15000,15000,Tunai
-20250107-0001,2025-01-07,18:17:36,valencia,Cheesecake,Dessert,15000,1,15000,15000,Tunai
-20250107-0002,2025-01-07,14:53:49,val,Latte,Kopi,15000,5,75000,75000,Tunai
-20250107-0003,2025-01-07,11:35:18,val,Americano,Kopi,12000,2,24000,24000,QRIS
-20250107-0004,2025-01-07,21:52:16,valencia,Kopi Tubruk,Kopi,8000,5,40000,40000,Tunai
-20250107-0005,2025-01-07,12:22:57,val,Kopi Tubruk,Kopi,8000,5,40000,40000,Tunai
-20250108-0001,2025-01-08,13:44:29,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Tunai
-20250108-0002,2025-01-08,14:08:33,valencia,Spagetti,Pasta,20000,1,20000,20000,QRIS
-20250108-0003,2025-01-08,12:09:03,val,Kentang Goreng,Camilan,12000,2,24000,24000,Tunai
-20250108-0004,2025-01-08,17:26:14,val,Gelato,Dessert,12000,5,60000,60000,Tunai
-20250108-0005,2025-01-08,10:57:43,valencia,Spagetti,Pasta,20000,4,80000,80000,Debit
-20250109-0001,2025-01-09,20:36:37,val,Americano,Kopi,12000,2,24000,24000,Debit
-20250109-0002,2025-01-09,18:25:24,val,Latte,Kopi,15000,5,75000,75000,Debit
-20250109-0003,2025-01-09,09:45:16,valencia,Americano,Kopi,12000,4,48000,48000,Tunai
-20250109-0004,2025-01-09,16:46:29,val,Cheesecake,Dessert,15000,2,30000,30000,Tunai
-20250109-0005,2025-01-09,17:03:26,valencia,Gelato,Dessert,12000,1,12000,12000,Debit
-20250110-0001,2025-01-10,16:32:55,valencia,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250110-0002,2025-01-10,12:55:14,val,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250110-0003,2025-01-10,13:30:44,val,Americano,Kopi,12000,3,36000,36000,Tunai
-20250110-0004,2025-01-10,10:49:07,val,Americano,Kopi,12000,5,60000,60000,Tunai
-20250110-0005,2025-01-10,16:09:57,valencia,Nasi Goreng,Nasi dan Mie,15000,3,45000,45000,Tunai
-20250111-0001,2025-01-11,19:45:36,val,Kentang Goreng,Camilan,12000,4,48000,48000,Tunai
-20250111-0002,2025-01-11,19:31:23,valencia,Lasagna,Pasta,25000,4,100000,100000,Tunai
-20250111-0003,2025-01-11,10:57:32,val,Kopi Tubruk,Kopi,8000,5,40000,40000,QRIS
-20250111-0004,2025-01-11,13:08:57,valencia,Smoothie Kiwi,Smoothie,17000,3,51000,51000,QRIS
-20250111-0005,2025-01-11,19:21:51,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Debit
-20250112-0001,2025-01-12,14:14:14,valencia,Latte,Kopi,15000,4,60000,60000,Tunai
-20250112-0002,2025-01-12,09:21:28,val,Cheesecake,Dessert,15000,2,30000,30000,QRIS
-20250112-0003,2025-01-12,09:10:52,val,Spagetti,Pasta,20000,2,40000,40000,QRIS
-20250112-0004,2025-01-12,10:22:30,valencia,Smoothie Berrie,Smoothie,18000,4,72000,72000,QRIS
-20250112-0005,2025-01-12,14:52:56,val,Cheesecake,Dessert,15000,4,60000,60000,Tunai
-20250113-0001,2025-01-13,17:09:34,valencia,Smoothie Berrie,Smoothie,18000,5,90000,90000,QRIS
-20250113-0002,2025-01-13,17:43:12,val,Espresso,Kopi,10000,5,50000,50000,Debit
-20250113-0003,2025-01-13,10:12:23,val,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250113-0004,2025-01-13,15:56:08,valencia,Gelato,Dessert,12000,5,60000,60000,QRIS
-20250113-0005,2025-01-13,13:31:49,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Tunai
-20250114-0001,2025-01-14,13:42:30,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Debit
-20250114-0002,2025-01-14,13:14:07,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,Tunai
-20250114-0003,2025-01-14,09:41:05,valencia,Americano,Kopi,12000,3,36000,36000,QRIS
-20250114-0004,2025-01-14,13:19:39,val,Cappucino,Kopi,15000,4,60000,60000,Tunai
-20250114-0005,2025-01-14,10:32:18,val,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250115-0001,2025-01-15,14:50:23,val,Smoothie Alpukat,Smoothie,16000,3,48000,48000,Tunai
-20250115-0002,2025-01-15,15:08:50,val,Cappucino,Kopi,15000,1,15000,15000,Tunai
-20250115-0003,2025-01-15,11:25:08,val,Gelato,Dessert,12000,5,60000,60000,Debit
-20250115-0004,2025-01-15,18:23:57,valencia,Gelato,Dessert,12000,4,48000,48000,Debit
-20250115-0005,2025-01-15,11:54:17,valencia,Espresso,Kopi,10000,4,40000,40000,Debit
-20250116-0001,2025-01-16,18:47:40,valencia,Smoothie Berrie,Smoothie,18000,4,72000,72000,Tunai
-20250116-0002,2025-01-16,09:57:54,valencia,Smoothie Berrie,Smoothie,18000,5,90000,90000,Tunai
-20250116-0003,2025-01-16,10:05:05,valencia,Smoothie Kiwi,Smoothie,17000,5,85000,85000,QRIS
-20250116-0004,2025-01-16,13:59:12,valencia,Kopi Tubruk,Kopi,8000,1,8000,8000,Debit
-20250116-0005,2025-01-16,16:13:39,val,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250117-0001,2025-01-17,21:03:52,val,Gelato,Dessert,12000,5,60000,60000,Debit
-20250117-0002,2025-01-17,13:13:35,val,Cheesecake,Dessert,15000,2,30000,30000,Tunai
-20250117-0003,2025-01-17,18:35:10,val,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Tunai
-20250117-0004,2025-01-17,13:28:39,valencia,Cheesecake,Dessert,15000,2,30000,30000,Tunai
-20250117-0005,2025-01-17,21:44:09,val,Espresso,Kopi,10000,3,30000,30000,Tunai
-20250118-0001,2025-01-18,20:55:44,val,Lasagna,Pasta,25000,1,25000,25000,Debit
-20250118-0002,2025-01-18,10:58:32,val,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250118-0003,2025-01-18,19:33:44,val,Lasagna,Pasta,25000,4,100000,100000,Tunai
-20250118-0004,2025-01-18,10:35:34,val,Gelato,Dessert,12000,5,60000,60000,Debit
-20250118-0005,2025-01-18,19:50:04,val,Latte,Kopi,15000,5,75000,75000,QRIS
-20250119-0001,2025-01-19,15:18:15,val,Cheesecake,Dessert,15000,5,75000,75000,QRIS
-20250119-0002,2025-01-19,13:55:31,val,Gelato,Dessert,12000,2,24000,24000,QRIS
-20250119-0003,2025-01-19,12:27:17,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Debit
-20250119-0004,2025-01-19,13:16:20,valencia,Smoothie Kiwi,Smoothie,17000,1,17000,17000,QRIS
-20250119-0005,2025-01-19,18:07:10,val,Americano,Kopi,12000,3,36000,36000,Debit
-20250120-0001,2025-01-20,09:23:37,valencia,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250120-0002,2025-01-20,13:17:19,val,Smoothie Kiwi,Smoothie,17000,4,68000,68000,Tunai
-20250120-0003,2025-01-20,12:46:28,valencia,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250120-0004,2025-01-20,10:23:08,valencia,Gelato,Dessert,12000,1,12000,12000,Tunai
-20250120-0005,2025-01-20,19:45:05,valencia,Smoothie Kiwi,Smoothie,17000,5,85000,85000,Debit
-20250121-0001,2025-01-21,10:47:32,val,Lasagna,Pasta,25000,3,75000,75000,Tunai
-20250121-0002,2025-01-21,09:59:37,val,Kentang Goreng,Camilan,12000,4,48000,48000,Debit
-20250121-0003,2025-01-21,18:34:24,val,Latte,Kopi,15000,1,15000,15000,Tunai
-20250121-0004,2025-01-21,17:05:44,val,Espresso,Kopi,10000,5,50000,50000,Tunai
-20250121-0005,2025-01-21,14:13:34,valencia,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,QRIS
-20250122-0001,2025-01-22,15:31:12,val,Americano,Kopi,12000,2,24000,24000,Debit
-20250122-0002,2025-01-22,15:51:37,val,Americano,Kopi,12000,2,24000,24000,Tunai
-20250122-0003,2025-01-22,19:54:27,valencia,Cappucino,Kopi,15000,1,15000,15000,Tunai
-20250122-0004,2025-01-22,11:20:13,valencia,Spagetti,Pasta,20000,2,40000,40000,Debit
-20250122-0005,2025-01-22,09:23:51,val,Kopi Tubruk,Kopi,8000,5,40000,40000,Debit
-20250123-0001,2025-01-23,09:52:45,val,Spagetti,Pasta,20000,5,100000,100000,Tunai
-20250123-0002,2025-01-23,11:12:37,valencia,Espresso,Kopi,10000,2,20000,20000,QRIS
-20250123-0003,2025-01-23,13:24:49,val,Smoothie Berrie,Smoothie,18000,4,72000,72000,Tunai
-20250123-0004,2025-01-23,15:21:57,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,QRIS
-20250123-0005,2025-01-23,11:17:05,val,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Tunai
-20250124-0001,2025-01-24,15:01:11,val,Gelato,Dessert,12000,4,48000,48000,Tunai
-20250124-0002,2025-01-24,09:12:19,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,Debit
-20250124-0003,2025-01-24,17:48:18,valencia,Cheesecake,Dessert,15000,2,30000,30000,Tunai
-20250124-0004,2025-01-24,10:16:06,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,Tunai
-20250124-0005,2025-01-24,17:28:34,val,Espresso,Kopi,10000,1,10000,10000,Debit
-20250125-0001,2025-01-25,11:22:56,valencia,Espresso,Kopi,10000,4,40000,40000,Debit
-20250125-0002,2025-01-25,12:29:23,val,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Tunai
-20250125-0003,2025-01-25,11:00:28,val,Kentang Goreng,Camilan,12000,1,12000,12000,Debit
-20250125-0004,2025-01-25,15:01:59,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Debit
-20250125-0005,2025-01-25,16:05:46,val,Spagetti,Pasta,20000,2,40000,40000,Debit
-20250126-0001,2025-01-26,18:46:20,valencia,Latte,Kopi,15000,3,45000,45000,QRIS
-20250126-0002,2025-01-26,10:26:50,val,Gelato,Dessert,12000,5,60000,60000,Debit
-20250126-0003,2025-01-26,21:15:54,val,Smoothie Berrie,Smoothie,18000,3,54000,54000,Debit
-20250126-0004,2025-01-26,16:31:56,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Tunai
-20250126-0005,2025-01-26,18:35:02,valencia,Smoothie Berrie,Smoothie,18000,3,54000,54000,Debit
-20250127-0001,2025-01-27,10:26:17,val,Smoothie Berrie,Smoothie,18000,3,54000,54000,Debit
-20250127-0002,2025-01-27,20:51:48,valencia,Mie Goreng,Nasi dan Mie,15000,3,45000,45000,Tunai
-20250127-0003,2025-01-27,18:46:21,valencia,Cappucino,Kopi,15000,1,15000,15000,Debit
-20250127-0004,2025-01-27,11:48:59,val,Kentang Goreng,Camilan,12000,2,24000,24000,QRIS
-20250127-0005,2025-01-27,12:09:29,valencia,Americano,Kopi,12000,5,60000,60000,QRIS
-20250128-0001,2025-01-28,12:58:18,valencia,Kopi Tubruk,Kopi,8000,3,24000,24000,QRIS
-20250128-0002,2025-01-28,19:29:11,val,Spagetti,Pasta,20000,3,60000,60000,QRIS
-20250128-0003,2025-01-28,15:08:10,valencia,Cheesecake,Dessert,15000,3,45000,45000,Tunai
-20250128-0004,2025-01-28,14:37:38,val,Espresso,Kopi,10000,5,50000,50000,Debit
-20250128-0005,2025-01-28,17:28:50,valencia,Americano,Kopi,12000,3,36000,36000,Tunai
-20250129-0001,2025-01-29,14:54:11,valencia,Americano,Kopi,12000,1,12000,12000,QRIS
-20250129-0002,2025-01-29,12:27:15,valencia,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250129-0003,2025-01-29,11:20:55,valencia,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250129-0004,2025-01-29,09:42:00,valencia,Americano,Kopi,12000,2,24000,24000,Tunai
-20250129-0005,2025-01-29,16:32:46,valencia,Lasagna,Pasta,25000,4,100000,100000,Tunai
-20250130-0001,2025-01-30,09:40:30,val,Espresso,Kopi,10000,4,40000,40000,Tunai
-20250130-0002,2025-01-30,10:30:39,valencia,Espresso,Kopi,10000,1,10000,10000,QRIS
-20250130-0003,2025-01-30,17:49:20,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Debit
-20250130-0004,2025-01-30,15:07:58,valencia,Americano,Kopi,12000,4,48000,48000,Debit
-20250130-0005,2025-01-30,18:35:40,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250131-0001,2025-01-31,13:34:20,valencia,Lasagna,Pasta,25000,3,75000,75000,Tunai
-20250131-0002,2025-01-31,11:52:55,val,Nasi Goreng,Nasi dan Mie,15000,3,45000,45000,Tunai
-20250131-0003,2025-01-31,14:53:11,val,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,QRIS
-20250131-0004,2025-01-31,17:39:58,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Tunai
-20250131-0005,2025-01-31,11:05:22,valencia,Americano,Kopi,12000,5,60000,60000,QRIS
-20250201-0001,2025-02-01,14:48:04,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,Debit
-20250201-0002,2025-02-01,13:22:20,valencia,Espresso,Kopi,10000,4,40000,40000,QRIS
-20250201-0003,2025-02-01,12:47:07,valencia,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250201-0004,2025-02-01,15:54:10,val,Smoothie Kiwi,Smoothie,17000,2,34000,34000,Tunai
-20250201-0005,2025-02-01,20:25:40,valencia,Kentang Goreng,Camilan,12000,4,48000,48000,Tunai
-20250202-0001,2025-02-02,18:10:21,valencia,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250202-0002,2025-02-02,20:39:04,val,Latte,Kopi,15000,3,45000,45000,Debit
-20250202-0003,2025-02-02,10:49:13,valencia,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250202-0004,2025-02-02,09:28:58,val,Gelato,Dessert,12000,5,60000,60000,QRIS
-20250202-0005,2025-02-02,18:08:16,val,Spagetti,Pasta,20000,5,100000,100000,Debit
-20250203-0001,2025-02-03,10:32:06,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Debit
-20250203-0002,2025-02-03,19:16:51,valencia,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Debit
-20250203-0003,2025-02-03,15:02:16,valencia,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250203-0004,2025-02-03,21:15:49,val,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Debit
-20250203-0005,2025-02-03,18:40:55,val,Cheesecake,Dessert,15000,5,75000,75000,QRIS
-20250204-0001,2025-02-04,21:02:18,valencia,Lasagna,Pasta,25000,5,125000,125000,QRIS
-20250204-0002,2025-02-04,10:13:36,valencia,Latte,Kopi,15000,1,15000,15000,Tunai
-20250204-0003,2025-02-04,17:11:32,valencia,Kentang Goreng,Camilan,12000,1,12000,12000,Debit
-20250204-0004,2025-02-04,09:49:08,valencia,Americano,Kopi,12000,3,36000,36000,Tunai
-20250204-0005,2025-02-04,21:23:39,val,Smoothie Kiwi,Smoothie,17000,4,68000,68000,QRIS
-20250205-0001,2025-02-05,15:53:09,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250205-0002,2025-02-05,10:15:56,valencia,Latte,Kopi,15000,2,30000,30000,QRIS
-20250205-0003,2025-02-05,13:00:01,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Debit
-20250205-0004,2025-02-05,19:00:46,val,Espresso,Kopi,10000,2,20000,20000,Debit
-20250205-0005,2025-02-05,14:00:25,val,Smoothie Kiwi,Smoothie,17000,5,85000,85000,QRIS
-20250206-0001,2025-02-06,13:26:06,valencia,Americano,Kopi,12000,3,36000,36000,Debit
-20250206-0002,2025-02-06,18:41:27,val,Lasagna,Pasta,25000,2,50000,50000,Tunai
-20250206-0003,2025-02-06,14:52:21,valencia,Latte,Kopi,15000,1,15000,15000,QRIS
-20250206-0004,2025-02-06,15:54:42,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,Debit
-20250206-0005,2025-02-06,14:06:30,valencia,Lasagna,Pasta,25000,5,125000,125000,QRIS
-20250207-0001,2025-02-07,16:10:19,valencia,Kentang Goreng,Camilan,12000,3,36000,36000,Tunai
-20250207-0002,2025-02-07,14:39:37,valencia,Spagetti,Pasta,20000,5,100000,100000,Tunai
-20250207-0003,2025-02-07,20:07:11,valencia,Gelato,Dessert,12000,5,60000,60000,Tunai
-20250207-0004,2025-02-07,13:08:16,valencia,Mie Goreng,Nasi dan Mie,15000,1,15000,15000,QRIS
-20250207-0005,2025-02-07,21:40:47,valencia,Americano,Kopi,12000,5,60000,60000,Tunai
-20250208-0001,2025-02-08,10:59:22,val,Kentang Goreng,Camilan,12000,1,12000,12000,QRIS
-20250208-0002,2025-02-08,21:06:59,valencia,Americano,Kopi,12000,2,24000,24000,QRIS
-20250208-0003,2025-02-08,16:17:14,val,Gelato,Dessert,12000,2,24000,24000,Tunai
-20250208-0004,2025-02-08,10:04:26,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,QRIS
-20250208-0005,2025-02-08,21:32:53,val,Americano,Kopi,12000,4,48000,48000,QRIS
-20250209-0001,2025-02-09,11:13:12,val,Spagetti,Pasta,20000,4,80000,80000,Tunai
-20250209-0002,2025-02-09,09:03:35,valencia,Espresso,Kopi,10000,5,50000,50000,QRIS
-20250209-0003,2025-02-09,14:40:36,valencia,Kentang Goreng,Camilan,12000,1,12000,12000,Tunai
-20250209-0004,2025-02-09,12:35:44,valencia,Lasagna,Pasta,25000,2,50000,50000,QRIS
-20250209-0005,2025-02-09,18:24:31,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,Tunai
-20250210-0001,2025-02-10,13:18:45,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Debit
-20250210-0002,2025-02-10,13:34:50,val,Americano,Kopi,12000,5,60000,60000,Tunai
-20250210-0003,2025-02-10,11:04:34,val,Cappucino,Kopi,15000,2,30000,30000,Debit
-20250210-0004,2025-02-10,11:09:19,val,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Tunai
-20250210-0005,2025-02-10,09:05:44,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250211-0001,2025-02-11,15:39:28,valencia,Smoothie Kiwi,Smoothie,17000,2,34000,34000,QRIS
-20250211-0002,2025-02-11,12:04:28,valencia,Smoothie Alpukat,Smoothie,16000,5,80000,80000,QRIS
-20250211-0003,2025-02-11,16:37:33,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Tunai
-20250211-0004,2025-02-11,09:54:33,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Debit
-20250211-0005,2025-02-11,16:21:11,val,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250212-0001,2025-02-12,20:24:09,valencia,Gelato,Dessert,12000,4,48000,48000,Tunai
-20250212-0002,2025-02-12,21:31:42,val,Americano,Kopi,12000,3,36000,36000,QRIS
-20250212-0003,2025-02-12,16:54:42,valencia,Smoothie Berrie,Smoothie,18000,4,72000,72000,QRIS
-20250212-0004,2025-02-12,21:36:28,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Debit
-20250212-0005,2025-02-12,14:20:58,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,QRIS
-20250213-0001,2025-02-13,11:13:56,val,Latte,Kopi,15000,5,75000,75000,Tunai
-20250213-0002,2025-02-13,15:10:03,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250213-0003,2025-02-13,19:27:56,val,Espresso,Kopi,10000,2,20000,20000,QRIS
-20250213-0004,2025-02-13,17:38:45,val,Americano,Kopi,12000,1,12000,12000,QRIS
-20250213-0005,2025-02-13,17:34:59,valencia,Espresso,Kopi,10000,5,50000,50000,Tunai
-20250214-0001,2025-02-14,14:06:22,valencia,Cheesecake,Dessert,15000,3,45000,45000,Debit
-20250214-0002,2025-02-14,16:12:43,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,Tunai
-20250214-0003,2025-02-14,19:29:54,val,Espresso,Kopi,10000,2,20000,20000,QRIS
-20250214-0004,2025-02-14,14:32:04,val,Kentang Goreng,Camilan,12000,3,36000,36000,Tunai
-20250214-0005,2025-02-14,10:23:42,val,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250215-0001,2025-02-15,10:47:00,val,Cheesecake,Dessert,15000,2,30000,30000,QRIS
-20250215-0002,2025-02-15,19:40:01,val,Kopi Tubruk,Kopi,8000,1,8000,8000,Tunai
-20250215-0003,2025-02-15,14:14:56,val,Kopi Tubruk,Kopi,8000,2,16000,16000,QRIS
-20250215-0004,2025-02-15,21:02:00,valencia,Americano,Kopi,12000,2,24000,24000,QRIS
-20250215-0005,2025-02-15,17:02:04,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,QRIS
-20250216-0001,2025-02-16,17:24:01,val,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250216-0002,2025-02-16,13:20:57,val,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Debit
-20250216-0003,2025-02-16,10:04:43,valencia,Smoothie Berrie,Smoothie,18000,2,36000,36000,Tunai
-20250216-0004,2025-02-16,16:37:40,valencia,Latte,Kopi,15000,2,30000,30000,Debit
-20250216-0005,2025-02-16,09:54:57,val,Cheesecake,Dessert,15000,3,45000,45000,Debit
-20250217-0001,2025-02-17,19:40:51,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Tunai
-20250217-0002,2025-02-17,14:12:51,valencia,Mie Goreng,Nasi dan Mie,15000,3,45000,45000,Debit
-20250217-0003,2025-02-17,21:55:28,val,Espresso,Kopi,10000,5,50000,50000,Tunai
-20250217-0004,2025-02-17,09:31:21,valencia,Spagetti,Pasta,20000,1,20000,20000,QRIS
-20250217-0005,2025-02-17,18:35:09,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,QRIS
-20250218-0001,2025-02-18,21:56:29,valencia,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250218-0002,2025-02-18,17:17:52,val,Americano,Kopi,12000,4,48000,48000,Debit
-20250218-0003,2025-02-18,19:09:41,valencia,Spagetti,Pasta,20000,3,60000,60000,Tunai
-20250218-0004,2025-02-18,10:33:20,valencia,Latte,Kopi,15000,4,60000,60000,Tunai
-20250218-0005,2025-02-18,21:24:47,valencia,Gelato,Dessert,12000,3,36000,36000,Debit
-20250219-0001,2025-02-19,09:47:09,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,Tunai
-20250219-0002,2025-02-19,21:51:08,val,Espresso,Kopi,10000,4,40000,40000,QRIS
-20250219-0003,2025-02-19,16:08:24,valencia,Gelato,Dessert,12000,1,12000,12000,Debit
-20250219-0004,2025-02-19,19:33:33,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,Tunai
-20250219-0005,2025-02-19,11:57:49,valencia,Americano,Kopi,12000,2,24000,24000,Debit
-20250220-0001,2025-02-20,10:52:53,valencia,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250220-0002,2025-02-20,13:06:23,valencia,Lasagna,Pasta,25000,5,125000,125000,Tunai
-20250220-0003,2025-02-20,18:53:41,val,Lasagna,Pasta,25000,2,50000,50000,QRIS
-20250220-0004,2025-02-20,13:04:35,valencia,Kopi Tubruk,Kopi,8000,4,32000,32000,Tunai
-20250220-0005,2025-02-20,18:13:19,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250221-0001,2025-02-21,19:59:12,val,Smoothie Kiwi,Smoothie,17000,4,68000,68000,Debit
-20250221-0002,2025-02-21,19:33:55,valencia,Gelato,Dessert,12000,2,24000,24000,Debit
-20250221-0003,2025-02-21,16:45:59,valencia,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Debit
-20250221-0004,2025-02-21,17:18:16,val,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250221-0005,2025-02-21,16:32:11,val,Kopi Tubruk,Kopi,8000,1,8000,8000,Tunai
-20250222-0001,2025-02-22,14:55:22,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Tunai
-20250222-0002,2025-02-22,19:50:32,valencia,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Debit
-20250222-0003,2025-02-22,12:39:20,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Tunai
